images,links,titles,descriptions
https://edu.sqi.ng/wp-content/uploads/2019/05/digital-literacy.jpg,https://edu.sqi.ng/procert-digital-literacy/,DIGITAL WORKPLACE PROFICIENCY,"Digital workplace proficiency refers to an individual’s ability to find, evaluate, and compose clear information through writing and other media on various digital platforms. This course is designed to prepare you for success in…"
https://edu.sqi.ng/wp-content/uploads/2023/01/software-engineering-630x330-1.webp,https://edu.sqi.ng/procert-software-engineering,SOFTWARE ENGINEERING,"Software engineering is a discipline that combines engineering and computer science concepts in the development and maintenance of reliable, usable, and dependable software and at SQI…"
https://edu.sqi.ng/wp-content/uploads/2023/08/product-management-630x330-1.jpg,https://edu.sqi.ng/procert-product-management/,PRODUCT MANAGEMENT,"As an aspiring PM, this course will teach you how to develop a product mindset, master relevant product management skills, and build a product of your own through user research, product methodology, prototyping…"
https://edu.sqi.ng/wp-content/uploads/2024/10/web-design.jpg,https://edu.sqi.ng/procert-web-design/,WEB DESIGN,"Web design refers to the design of websites that are displayed on the internet. Web designers are responsible for creating a website’s layout and visual appeal, ensuring the site looks attractive and functional to users."
https://edu.sqi.ng/wp-content/uploads/2023/07/cybersecure.jpg,https://edu.sqi.ng/procert-ethical-hacking/,CYBER SECURITY,"“To beat a hacker, you need to think like a hacker”. The Cyber Security program is the most desired information security training program any information security professional will ever want to be in…"
https://edu.sqi.ng/wp-content/uploads/2025/04/Java-Programming-scaled.jpg,https://edu.sqi.ng/procert-java/,JAVA PROGRAMMING,"Java is one of the most versatile and widely used programming languages in the world, and mastering it opens doors to countless opportunities in the fintech industry."
https://edu.sqi.ng/wp-content/uploads/2023/07/cad-application630x330.jpg,https://edu.sqi.ng/procert-cad-application/,CAD APPLICATIONS,"Computer-aided design (CAD) or Computer-aided design and drafting(CADD) is the use of computers (or workstations) to aid in the creation, modification, analysis…"
https://edu.sqi.ng/wp-content/uploads/2019/05/ui-ux.jpg,https://edu.sqi.ng/procert-ui-ux-design/,UI/UX (PRODUCT) DESIGN ,The course focused on taking ideas and inspiration and transforming them into usable designs that make a big impression. The “UI” stands for “user interface.” The user interface is the graphical layout…
https://edu.sqi.ng/wp-content/uploads/2020/10/32204-Converted-01.png,https://edu.sqi.ng/procert-digital-video-production/,DIGITAL VIDEO PRODUCTION,"Video Production is the process of producing video content for TV, home video or the internet. In a world that leverages multimedia to effectively communicate different messages to target audiences, video production stands out as a major tool to achieve…"
https://edu.sqi.ng/wp-content/uploads/2022/11/Graphic-Designer-1.jpg,https://edu.sqi.ng/graphics-multimedia-technology/,GRAPHICS & MULTIMEDIA,"Graphics and multimedia technology includes interactive, computer-based applications that allow people to communicate ideas and information in a compelling manner through the use of powerful computer-based…"
https://edu.sqi.ng/wp-content/uploads/2019/05/Digital-Marketing-1.jpg,https://edu.sqi.ng/procert-digital-marketing/,DIGITAL MARKETING,"Digital marketing or Internet Marketing is the component of marketing that utilizes the internet and online-based digital technologies such as desktop computers, mobile phones and other digital media and platforms to promote…"
https://edu.sqi.ng/wp-content/uploads/2019/05/3d-animation-1.jpg,https://edu.sqi.ng/procert-motion-graphics-animation/,MOTION GRAPHICS & ANIMATION,"3D animation as the name explains is the process of generating three-dimensional (X,Y,Z) moving images in a digital environment. VFX stands for Visual Effects. Animation and VFX…"
https://edu.sqi.ng/wp-content/uploads/2020/06/data-science-sqi.jpg,https://edu.sqi.ng/procert-data-science/,DATA SCIENCE & ANALYSIS,"Data Science is a blend of various tools, algorithms, and machine learning principles with the goal to discover hidden patterns from the raw data. It is primarily used to make decisions and predictions…"
https://edu.sqi.ng/wp-content/uploads/2023/07/robotic-engineering-630x330-1.jpg,https://edu.sqi.ng/robotics/,ROBOTICS ENGINEERING,Anything you have fantasized about as a child might be realized in the form of an automated system and synchronization with other devices that interact with a robot. You will learn robotics programming…
https://edu.sqi.ng/wp-content/uploads/2023/04/artificial-intelligence1.jpg,https://edu.sqi.ng/procert-artificial-intelligence/,ARTIFICIAL INTELLIGENCE (AI),"Artificial intelligence (AI) is used for everything from predicting what you will type to autonomous vehicle and more. AI is demonstrated when a task, formerly performed by a human and thought of as requiring the ability…"
https://edu.sqi.ng/wp-content/uploads/2019/05/networking.jpg,https://edu.sqi.ng/procert-networking/,NETWORKING,Computer Networking is the study of how computers can be connected together to share data and other resources. Network security consists of the policies and practices adopted to prevent and monitor unauthorized…
https://edu.sqi.ng/wp-content/uploads/2019/05/accounting.jpg,https://edu.sqi.ng/procert-accounting-applications/,ACCOUNTING APPLICATIONS,This course is designed to introduce learners to computerized accounting. The course is primarily for those who would like to understand more about the day-to-day inputting of their accounts on the computer…
https://edu.sqi.ng/wp-content/uploads/2019/05/comptia-1.jpg,https://edu.sqi.ng/procert-computer-hardware-engineering/,HARDWARE ENGINEERING,Computer engineering (CE) is a branch of engineering that integrates several fields of computer science and electronic engineering required to develop computer hardware and software…
https://sqi.edu.ng/wp-content/uploads/2025/04/DevOps-scaled.jpg,https://sqi.edu.ng/procert-devops,DEVOPS,DevOps is the secret behind how apps like Netflix or Instagram update instantly without crashing. It is the bridge between creating software and delivering it to millions of users…
https://edu.sqi.ng/wp-content/uploads/2025/04/Server-Administrator-scaled.jpg,#,Server Administration,Coming Soon
